,string, length, firstMatchPos,Score,Unit,Batch
0,error,5,0,9393.363,ns/op,20
1,error5,6,0,7628.258,ns/op,20
2,error5b,7,0,6833.838,ns/op,20
3,error0pF,8,0,7171.682,ns/op,20
4,errorFQCn,9,0,6807.938,ns/op,20
5,errorhpSsS,10,0,7023.423,ns/op,20
6,errorfjuKPo,11,0,7426.872,ns/op,20
7,errorxxBOz9S,12,0,7733.423,ns/op,20
8,errorMf8kaMd8,13,0,8138.991,ns/op,20
9,errorUhpTYlEa0,14,0,8600.845,ns/op,20
10,error8T3FJPl0Ul,15,0,9354.552,ns/op,20
11,errorF4UTNggcTjc,16,0,9252.954,ns/op,20
12,errorBqoxzYtCYQWo,17,0,9797.865,ns/op,20
13,errorWkk9fTWxNNcVL,18,0,10441.729,ns/op,20
14,errorMxb8jVpQwNIxFH,19,0,10476.960,ns/op,20
15,error7wJiqAexTTdrC5p,20,0,11473.516,ns/op,20
16,7error,6,1,4771.512,ns/op,20
17,Rerrori,7,1,5650.226,ns/op,20
18,qerrorhd,8,1,5992.003,ns/op,20
19,9errorb10,9,1,6430.399,ns/op,20
20,CerrorNOmH,10,1,6558.711,ns/op,20
21,zerrorftjgY,11,1,7186.790,ns/op,20
22,5errorCbjoI0,12,1,7361.871,ns/op,20
23,Cerrorfomedjx,13,1,8397.554,ns/op,20
24,Werrorc1wZPRbZ,14,1,8734.391,ns/op,20
25,qerrorRp04s1UPe,15,1,9196.201,ns/op,20
26,zerrorawyiQy7p5t,16,1,9126.745,ns/op,20
27,cerror33ptP6OKaUj,17,1,9080.080,ns/op,20
28,9error9IyVQEXEtimH,18,1,10054.300,ns/op,20
29,FerrorxvS9SFXOgWvbH,19,1,10412.559,ns/op,20
30,XerrorQfDmUJgyR8PCXl,20,1,10778.030,ns/op,20
31,F2error,7,2,5595.744,ns/op,20
32,hierrorq,8,2,5445.024,ns/op,20
33,B1errorz1,9,2,6063.836,ns/op,20
34,m3errorAX6,10,2,6528.780,ns/op,20
35,3rerrorcu4B,11,2,6761.849,ns/op,20
36,VCerrorNUMip,12,2,7341.655,ns/op,20
37,cYerrorKtHhfR,13,2,7531.158,ns/op,20
38,ePerrortW9VK26,14,2,8118.574,ns/op,20
39,LXerrorJEjFmVOA,15,2,8456.705,ns/op,20
40,vLerrorpLim9VoYe,16,2,9488.351,ns/op,20
41,cgerror40CKFO14NX,17,2,9274.776,ns/op,20
42,lUerrorPVmEztiT2PX,18,2,10103.272,ns/op,20
43,nlerrordyARp4g4sHw8,19,2,9867.534,ns/op,20
44,nQerror4tFxXZiTf096K,20,2,10279.052,ns/op,20
45,iL1error,8,3,5130.447,ns/op,20
46,SAoerrorj,9,3,5375.351,ns/op,20
47,k0Qerrorjo,10,3,6086.258,ns/op,20
48,jvaerrorQFi,11,3,6846.581,ns/op,20
49,Q4gerrorRLec,12,3,7328.515,ns/op,20
50,iPKerrorWOQYl,13,3,7231.588,ns/op,20
51,JaNerrorilvZHc,14,3,7462.087,ns/op,20
52,2yverrorQZAqFDI,15,3,8279.507,ns/op,20
53,XMPerrorxBoDUb1Z,16,3,8748.235,ns/op,20
54,I05errorNqBU8awZV,17,3,8843.026,ns/op,20
55,JWperror2wv1aKuB7e,18,3,9873.728,ns/op,20
56,o15errorSOkshEa7t9a,19,3,9640.308,ns/op,20
57,bMAerrorrX7HxkGrJwVG,20,3,10377.237,ns/op,20
58,Ety5error,9,4,5089.172,ns/op,20
59,riE5error4,10,4,5533.411,ns/op,20
60,MEuterrorog,11,4,6229.771,ns/op,20
61,u1mjerrorz4r,12,4,6658.664,ns/op,20
62,zqLSerroryb2m,13,4,7076.214,ns/op,20
63,JpvderrorEJEDB,14,4,7472.505,ns/op,20
64,PEzJerrornDiuL6,15,4,7696.173,ns/op,20
65,xofFerrorxh8rej7,16,4,8543.806,ns/op,20
66,LzYierrorevu6R2EO,17,4,9213.278,ns/op,20
67,9XfVerror78GI7iFwk,18,4,8887.541,ns/op,20
68,sjkKerrorV8ZOSeorJG,19,4,12337.537,ns/op,20
69,N2V4errorZrX73CV1bkf,20,4,9651.906,ns/op,20
70,dfNUverror,10,5,5013.432,ns/op,20
71,bmvmkerroru,11,5,5606.287,ns/op,20
72,FbioSerror0e,12,5,6264.516,ns/op,20
73,CL9kAerror11i,13,5,6694.926,ns/op,20
74,z5hkeerrortXoA,14,5,6903.352,ns/op,20
75,YEbGFerrorVMCKj,15,5,7575.675,ns/op,20
76,918cqerrorENUM8V,16,5,7879.285,ns/op,20
77,u4xDmerrorbHUHYgx,17,5,8191.644,ns/op,20
78,u5RsCerror1mTFMDGx,18,5,8695.248,ns/op,20
79,Yy1dGerrorFnZRHzoiD,19,5,9694.003,ns/op,20
80,qn8wDerrorRl266U74fa,20,5,9906.369,ns/op,20
81,f73JoWerror,11,6,4995.732,ns/op,20
82,fX42HIerrorM,12,6,5557.387,ns/op,20
83,Ipwlp4errori7,13,6,6130.963,ns/op,20
84,NpKlTjerrorktV,14,6,6832.585,ns/op,20
85,dloVN2errorSYln,15,6,7312.410,ns/op,20
86,o1oD6Zerror58ZHS,16,6,7564.732,ns/op,20
87,AB9MXYerroroKD4ht,17,6,7824.388,ns/op,20
88,8ulPBEerrorr2251p9,18,6,8198.687,ns/op,20
89,jkEQ6gerroriODeOfIx,19,6,9081.447,ns/op,20
90,nFkNfeerrorlUrSjYRBa,20,6,9748.921,ns/op,20
91,KkBkrYUerror,12,7,5031.226,ns/op,20
92,Rt4ftSFerrorH,13,7,5688.094,ns/op,20
93,5kI53DHerrorgx,14,7,6222.318,ns/op,20
94,06rBdcierrorO7u,15,7,7101.289,ns/op,20
95,e3QNhy7errorEliz,16,7,7295.363,ns/op,20
96,z6bTGlwerrorNIURN,17,7,7536.393,ns/op,20
97,8Bp1YgwerrorGM290N,18,7,7768.849,ns/op,20
98,Qwk9RU5errorUK4hztX,19,7,8420.395,ns/op,20
99,664vLa6errorpojthaPa,20,7,8766.122,ns/op,20
